model,corruption,severity,class,f1,clean_f1,f1_drop
finetune,motion_blur,2,Tomato___healthy,0.72,1.0,0.28
frozen,low_light,3,Corn_(maize)___healthy,0.7222222222222222,1.0,0.2777777777777778
frozen,motion_blur,2,Potato___Early_blight,0.6984126984126984,0.975609756097561,0.2771970576848626
frozen,motion_blur,2,Tomato___healthy,0.6923076923076923,0.9692307692307692,0.27692307692307694
frozen,motion_blur,2,Peach___healthy,0.6153846153846154,0.8888888888888888,0.2735042735042734
frozen,jpeg,3,Cherry_(including_sour)___healthy,0.7272727272727273,1.0,0.2727272727272727
frozen,motion_blur,1,Potato___healthy,0.7272727272727273,1.0,0.2727272727272727
finetune,low_light,2,Corn_(maize)___Northern_Leaf_Blight,0.7037037037037037,0.975,0.27129629629629626
frozen,jpeg,2,Tomato___Tomato_mosaic_virus,0.6956521739130435,0.9655172413793104,0.26986506746626693
frozen,motion_blur,2,Grape___Esca_(Black_Measles),0.7323943661971831,1.0,0.2676056338028169
finetune,low_light,1,Tomato___Leaf_Mold,0.7333333333333333,1.0,0.2666666666666667
frozen,motion_blur,3,Soybean___healthy,0.7252747252747253,0.9901960784313726,0.26492135315664733
finetune,motion_blur,3,Soybean___healthy,0.7359050445103857,1.0,0.26409495548961426
finetune,low_light,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.6842105263157895,0.9473684210526316,0.26315789473684215
finetune,motion_blur,2,Tomato___Bacterial_spot,0.7313432835820896,0.9940828402366864,0.2627395566545968
finetune,low_light,2,Corn_(maize)___healthy,0.7397260273972602,1.0,0.26027397260273977
